City/Town,Ward,Pct,"William P. O'Donnell","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Avon,-,1,"1,434",2,514,"1,950"
Bellingham,-,1,936,58,397,"1,391"
Bellingham,-,2,"1,069",27,447,"1,543"
Bellingham,-,3,"1,020",22,432,"1,474"
Bellingham,-,4,835,60,381,"1,276"
Bellingham,-,4A,104,14,49,167
Bellingham,-,5,951,51,383,"1,385"
Braintree,-,1A,942,11,446,"1,399"
Braintree,-,1B,884,14,416,"1,314"
Braintree,-,2A,"1,091",12,476,"1,579"
Braintree,-,2B,997,11,483,"1,491"
Braintree,-,3A,894,11,303,"1,208"
Braintree,-,3B,944,12,374,"1,330"
Braintree,-,4A,882,16,332,"1,230"
Braintree,-,4B,923,11,301,"1,235"
Braintree,-,5A,985,9,422,"1,416"
Braintree,-,5B,"1,118",11,470,"1,599"
Braintree,-,6A,"1,138",12,509,"1,659"
Braintree,-,6B,"1,134",14,439,"1,587"
Brookline,-,1,"1,268",4,283,"1,555"
Brookline,-,2,805,3,151,959
Brookline,-,3,"1,326",3,288,"1,617"
Brookline,-,4,"1,165",3,244,"1,412"
Brookline,-,5,"1,343",2,345,"1,690"
Brookline,-,6,"1,393",2,319,"1,714"
Brookline,-,7,"1,308",7,271,"1,586"
Brookline,-,8,"1,317",5,269,"1,591"
Brookline,-,9,"1,288",1,272,"1,561"
Brookline,-,10,"1,421",3,257,"1,681"
Brookline,-,11,"1,356",3,304,"1,663"
Brookline,-,12,"1,546",2,387,"1,935"
Brookline,-,13,"1,336",1,332,"1,669"
Brookline,-,14,"1,343",7,369,"1,719"
Brookline,-,15,"1,195",3,456,"1,654"
Brookline,-,16,"1,164",3,334,"1,501"
Canton,-,1,"1,242",6,418,"1,666"
Canton,-,2,"1,399",5,576,"1,980"
Canton,-,3,"1,257",11,453,"1,721"
Canton,-,4,"1,486",7,657,"2,150"
Canton,-,5,"1,387",1,510,"1,898"
Canton,-,6,"1,215",5,443,"1,663"
Cohasset,-,1,"1,450",8,659,"2,117"
Cohasset,-,2,"1,683",2,664,"2,349"
Dedham,-,1,"1,216",6,563,"1,785"
Dedham,-,2,"1,347",15,446,"1,808"
Dedham,-,3,"1,154",15,349,"1,518"
Dedham,-,4,"1,246",9,489,"1,744"
Dedham,-,5,"1,333",15,508,"1,856"
Dedham,-,6,"1,397",16,481,"1,894"
Dedham,-,7,"1,296",9,529,"1,834"
Dover,-,1,"2,081",38,"1,014","3,133"
Foxborough,-,1,"1,119",4,427,"1,550"
Foxborough,-,2,"1,259",3,554,"1,816"
Foxborough,-,3,"1,262",7,546,"1,815"
Foxborough,-,4,"1,230",7,518,"1,755"
Foxborough,-,5,"1,170",4,491,"1,665"
Franklin,-,1,"1,233",26,521,"1,780"
Franklin,-,2,"1,266",34,533,"1,833"
Franklin,-,3,"1,295",29,486,"1,810"
Franklin,-,4,"1,391",29,659,"2,079"
Franklin,-,5,"1,447",35,562,"2,044"
Franklin,-,6,"1,196",18,442,"1,656"
Franklin,-,7,"1,377",19,601,"1,997"
Franklin,-,8,"1,324",33,611,"1,968"
Holbrook,-,1,825,7,267,"1,099"
Holbrook,-,2,837,20,348,"1,205"
Holbrook,-,3,804,6,319,"1,129"
Holbrook,-,4,818,16,248,"1,082"
Medfield,-,1,"1,270",2,422,"1,694"
Medfield,-,2,"1,221",7,402,"1,630"
Medfield,-,3,"1,242",10,432,"1,684"
Medfield,-,4,"1,172",5,475,"1,652"
Medway,-,1,"1,016",28,463,"1,507"
Medway,-,2,"1,186",31,385,"1,602"
Medway,-,3,"1,157",28,459,"1,644"
Medway,-,4,"1,185",24,462,"1,671"
Millis,-,1,"1,037",5,375,"1,417"
Millis,-,2,"1,008",8,443,"1,459"
Millis,-,3,"1,034",2,435,"1,471"
Milton,-,1,"1,177",4,243,"1,424"
Milton,-,2,"1,118",5,386,"1,509"
Milton,-,3,"1,080",7,493,"1,580"
Milton,-,4,"1,060",11,364,"1,435"
Milton,-,5,818,5,382,"1,205"
Milton,-,6,"1,068",8,467,"1,543"
Milton,-,7,976,5,398,"1,379"
Milton,-,8,"1,062",15,421,"1,498"
Milton,-,9,959,8,535,"1,502"
Milton,-,10,793,5,214,"1,012"
Needham,-,A,"1,036",17,344,"1,397"
Needham,-,B,"1,228",18,440,"1,686"
Needham,-,C,"1,200",12,403,"1,615"
Needham,-,D,"1,208",15,374,"1,597"
Needham,-,E,"1,272",9,442,"1,723"
Needham,-,F,"1,194",13,406,"1,613"
Needham,-,G,"1,226",13,467,"1,706"
Needham,-,H,"1,233",20,450,"1,703"
Needham,-,I,"1,335",13,372,"1,720"
Needham,-,J,"1,273",19,393,"1,685"
Norfolk,-,1,777,17,349,"1,143"
Norfolk,-,2,"1,508",28,715,"2,251"
Norfolk,-,3,"1,308",19,594,"1,921"
Norwood,-,1,"1,246",13,382,"1,641"
Norwood,-,2,"1,140",8,310,"1,458"
Norwood,-,3,"1,159",16,363,"1,538"
Norwood,-,4,"1,252",11,455,"1,718"
Norwood,-,5,912,9,234,"1,155"
Norwood,-,6,811,9,260,"1,080"
Norwood,-,7,"1,006",8,322,"1,336"
Norwood,-,8,"1,231",14,362,"1,607"
Norwood,-,9,"1,218",13,391,"1,622"
Plainville,-,1,"1,036",13,405,"1,454"
Plainville,-,2,"1,025",9,344,"1,378"
Plainville,-,3,928,21,371,"1,320"
Quincy,1,1,829,18,239,"1,086"
Quincy,1,2,604,6,218,828
Quincy,1,3,957,16,234,"1,207"
Quincy,1,4,"1,160",25,373,"1,558"
Quincy,1,5,"1,233",35,363,"1,631"
Quincy,2,1,853,17,235,"1,105"
Quincy,2,2,772,12,168,952
Quincy,2,3,358,8,84,450
Quincy,2,3A,197,1,73,271
Quincy,2,4,724,10,171,905
Quincy,2,5,935,14,243,"1,192"
Quincy,3,1,"1,134",16,271,"1,421"
Quincy,3,2,890,13,249,"1,152"
Quincy,3,3,601,13,125,739
Quincy,3,4,"1,028",14,279,"1,321"
Quincy,3,5,598,4,125,727
Quincy,4,1,944,14,189,"1,147"
Quincy,4,2,"1,083",21,273,"1,377"
Quincy,4,3,"1,080",16,310,"1,406"
Quincy,4,4,747,10,153,910
Quincy,4,5,837,15,196,"1,048"
Quincy,5,1,860,15,200,"1,075"
Quincy,5,2,836,11,188,"1,035"
Quincy,5,3,"1,021",18,263,"1,302"
Quincy,5,4,956,14,259,"1,229"
Quincy,5,5,808,12,261,"1,081"
Quincy,6,1,791,12,183,986
Quincy,6,2,614,12,138,764
Quincy,6,3,"1,140",20,325,"1,485"
Quincy,6,4,731,9,193,933
Quincy,6,5,"1,351",18,407,"1,776"
Randolph,-,1,837,9,204,"1,050"
Randolph,-,2,702,10,146,858
Randolph,-,3,805,1,200,"1,006"
Randolph,-,4,852,5,224,"1,081"
Randolph,-,5,724,9,188,921
Randolph,-,6,739,8,159,906
Randolph,-,7,808,5,169,982
Randolph,-,8,873,9,164,"1,046"
Randolph,-,9,818,8,158,984
Randolph,-,10,847,6,179,"1,032"
Randolph,-,11,826,13,230,"1,069"
Randolph,-,12,904,10,210,"1,124"
Sharon,-,1,"1,389",16,428,"1,833"
Sharon,-,2,"1,251",16,418,"1,685"
Sharon,-,3,"1,371",25,470,"1,866"
Sharon,-,4,"1,388",12,382,"1,782"
Sharon,-,5,"1,217",16,394,"1,627"
Stoughton,-,1,"1,215",0,411,"1,626"
Stoughton,-,2,"1,002",0,403,"1,405"
Stoughton,-,3,"1,076",3,416,"1,495"
Stoughton,-,4,"1,176",3,585,"1,764"
Stoughton,-,5,889,2,355,"1,246"
Stoughton,-,6,978,0,373,"1,351"
Stoughton,-,7,941,5,295,"1,241"
Stoughton,-,8,827,14,247,"1,088"
Walpole,-,1,"1,091",5,383,"1,479"
Walpole,-,2,"1,111",8,502,"1,621"
Walpole,-,3,"1,180",2,468,"1,650"
Walpole,-,4,"1,067",5,391,"1,463"
Walpole,-,5,937,4,399,"1,340"
Walpole,-,6,"1,096",10,488,"1,594"
Walpole,-,7,"1,100",4,507,"1,611"
Walpole,-,8,"1,024",3,531,"1,558"
Wellesley,-,A,"1,327",5,490,"1,822"
Wellesley,-,B,"1,500",19,471,"1,990"
Wellesley,-,C,"1,158",7,658,"1,823"
Wellesley,-,D,"1,453",15,547,"2,015"
Wellesley,-,E,"1,204",8,456,"1,668"
Wellesley,-,F,824,5,299,"1,128"
Wellesley,-,G,741,2,226,969
Wellesley,-,H,"1,220",8,539,"1,767"
Westwood,-,1,"1,519",5,584,"2,108"
Westwood,-,2,"1,516",7,622,"2,145"
Westwood,-,3,"1,430",1,673,"2,104"
Westwood,-,4,"1,275",8,651,"1,934"
Weymouth,-,1,990,15,322,"1,327"
Weymouth,-,2,"1,079",14,455,"1,548"
Weymouth,-,3,"1,141",13,396,"1,550"
Weymouth,-,4,"1,022",9,376,"1,407"
Weymouth,-,5,841,6,253,"1,100"
Weymouth,-,6,"1,164",10,348,"1,522"
Weymouth,-,7,963,9,302,"1,274"
Weymouth,-,8,"1,053",18,333,"1,404"
Weymouth,-,9,"1,102",18,418,"1,538"
Weymouth,-,10,754,9,228,991
Weymouth,-,11,982,14,348,"1,344"
Weymouth,-,12,"1,069",12,392,"1,473"
Weymouth,-,13,718,8,236,962
Weymouth,-,14,896,13,250,"1,159"
Weymouth,-,15,"1,110",10,398,"1,518"
Weymouth,-,16,"1,195",24,431,"1,650"
Weymouth,-,17,807,14,263,"1,084"
Weymouth,-,18,"1,415",28,587,"2,030"
Wrentham,-,1,"1,259",33,490,"1,782"
Wrentham,-,2,"1,288",51,597,"1,936"
Wrentham,-,3,"1,364",33,476,"1,873"
TOTALS,,,"229,410","2,611","80,131","312,152"
